county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014
HARRISON ,33407,21832,7855,3363,357,0500000US48203,33798,21784,7666,3588,760,34210,21993,7732,3694,791,33833,21486,7593,3941,813,33407,21832,7855,3363,357
HARTLEY ,2362,1883,6,442,31,0500000US48205,2361,1858,4,452,47,2390,1873,4,465,48,2374,1846,6,475,47,2362,1883,6,442,31
HASKELL ,2795,2030,79,664,22,0500000US48207,2799,1998,68,680,53,2809,1992,70,694,53,2742,1935,72,690,45,2795,2030,79,664,22
HAYS ,78852,47043,2555,27805,1449,0500000US48209,82202,47901,2343,29400,2558,83638,48543,2379,30105,2611,88514,50782,2490,32397,2845,78852,47043,2555,27805,1449
HEMPHILL ,1879,1357,2,499,21,0500000US48211,1897,1350,2,509,36,1921,1357,2,525,37,1967,1379,2,548,38,1879,1357,2,499,21
HENDERSON ,40064,32950,2576,4100,438,0500000US48213,40365,32703,2452,4294,916,40535,32740,2467,4396,932,40699,32599,2471,4620,1009,40064,32950,2576,4100,438
HIDALGO ,397825,30355,1022,362088,4360,0500000US48215,409575,30286,932,373281,5076,416328,30175,948,380073,5132,419004,30267,971,382345,5421,397825,30355,1022,362088,4360
HILL ,17881,13392,1247,3062,180,0500000US48217,18129,13391,1179,3202,357,18219,13394,1187,3274,364,17834,13045,1160,3278,351,17881,13392,1247,3062,180
HOCKLEY ,11638,6076,428,5042,92,0500000US48219,11661,5970,407,5126,158,11708,5954,409,5187,158,11858,5954,437,5282,185,11638,6076,428,5042,92
HOOD ,26001,23074,125,2435,367,0500000US48221,26442,23179,84,2562,617,26589,23264,85,2618,622,26939,23476,85,2734,644,26001,23074,125,2435,367
HOPKINS ,17740,13686,1366,2462,226,0500000US48223,17876,13563,1266,2577,470,18091,13680,1277,2657,477,17880,13362,1270,2749,499,17740,13686,1366,2462,226
HOUSTON ,10963,7287,2716,813,147,0500000US48225,10960,7211,2669,835,245,10998,7210,2684,855,249,10806,7056,2608,883,259,10963,7287,2716,813,147
HOWARD ,15292,8826,627,5594,245,0500000US48227,15342,8718,575,5683,366,15500,8761,575,5792,372,15735,8840,592,5906,397,15292,8826,627,5594,245
HUDSPETH ,1726,301,12,1398,15,0500000US48229,1741,288,10,1415,28,1749,282,10,1429,28,1696,283,7,1380,26,1726,301,12,1398,15
HUNT ,43429,33173,3828,5517,911,0500000US48231,43964,32814,3705,5821,1624,44143,32844,3735,5923,1641,44865,32958,3787,6350,1770,43429,33173,3828,5517,911
HUTCHINSON ,11073,8431,278,2141,223,0500000US48233,11086,8266,223,2199,398,11125,8262,221,2240,402,10834,7984,226,2221,403,11073,8431,278,2141,223
IRION ,792,574,5,200,13,0500000US48235,806,583,3,206,14,827,598,3,211,15,856,609,5,224,18,792,574,5,200,13
JACK ,4014,3433,42,502,37,0500000US48237,4050,3423,33,520,74,4054,3413,33,532,76,4021,3382,31,544,64,4014,3433,42,502,37
JACKSON ,7128,4564,511,2002,51,0500000US48239,7137,4493,501,2041,102,7194,4511,505,2075,103,7330,4554,517,2156,103,7128,4564,511,2002,51
JASPER ,18167,13877,3198,874,218,0500000US48241,18247,13806,3083,902,456,18328,13851,3097,918,462,17967,13525,3034,935,473,18167,13877,3198,874,218
JEFF DAVIS ,1155,749,7,392,7,0500000US48243,1177,750,4,398,25,1199,763,4,406,26,1113,702,3,383,25,1155,749,7,392,7
JEFFERSON ,123327,56636,43534,18511,4646,0500000US48245,123611,55246,42870,19381,6114,124095,55072,43083,19750,6190,123331,53206,42831,20825,6469,123327,56636,43534,18511,4646
JIM HOGG ,2684,168,3,2500,13,0500000US48247,2693,160,2,2508,23,2723,160,2,2537,24,2642,154,1,2464,23,2684,168,3,2500,13
JIM WELLS ,20731,4117,63,16405,146,0500000US48249,21114,4100,67,16757,190,21448,4135,69,17049,195,21160,3963,67,16931,199,20731,4117,63,16405,146
JOHNSON ,75415,59246,1982,12918,1269,0500000US48251,76612,58957,1766,13636,2253,77783,59697,1785,14007,2294,78702,59360,1904,14987,2451,75415,59246,1982,12918,1269
