County ,Total,"Total 
Male",Total Female,White Male,White Female,"Black 
Male",Black Female,Hispanic Male,Hispanic Female,Other Male,Other Female,,,,,,,,,,,,,,,,,,,,,,,,,,
Oldham ,"2,147","1,082","1,065",911,870,26,29,125,129,20,37,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange ,"82,765","41,197","41,568","33,814","34,332","3,422","3,677","2,762","2,356","1,199","1,203",,,,,,,,,,,,,,,,,,,,,,,,,,
Palo Pinto ,"28,430","14,022","14,408","10,738","11,256",309,282,"2,681","2,576",294,294,,,,,,,,,,,,,,,,,,,,,,,,,,
Panola ,"24,140","12,008","12,132","8,735","8,876","1,872","2,033","1,156",970,245,253,,,,,,,,,,,,,,,,,,,,,,,,,,
Parker ,"121,234","61,356","59,878","51,000","51,449","1,391",527,"7,424","6,253","1,541","1,649",,,,,,,,,,,,,,,,,,,,,,,,,,
Parmer ,"10,406","5,336","5,070","1,917","1,934",47,39,"3,341","3,059",31,38,,,,,,,,,,,,,,,,,,,,,,,,,,
Pecos ,"15,597","8,768","6,829","2,526","1,748",493,34,"5,636","4,936",113,111,,,,,,,,,,,,,,,,,,,,,,,,,,
Polk ,"45,985","24,573","21,412","16,839","16,107","3,232","1,988","3,785","2,512",717,805,,,,,,,,,,,,,,,,,,,,,,,,,,
Potter ,"123,179","63,036","60,143","28,927","29,637","6,959","5,086","23,214","21,606","3,936","3,814",,,,,,,,,,,,,,,,,,,,,,,,,,
Presidio ,"7,949","3,887","4,062",601,538,22,9,"3,195","3,455",69,60,,,,,,,,,,,,,,,,,,,,,,,,,,
Rains ,"11,259","5,651","5,608","4,900","4,923",136,118,473,422,142,145,,,,,,,,,,,,,,,,,,,,,,,,,,
Randall ,"126,397","61,646","64,751","47,000","50,400","1,640","1,287","10,851","10,983","2,155","2,081",,,,,,,,,,,,,,,,,,,,,,,,,,
Reagan ,"3,568","1,840","1,728",617,650,41,27,"1,165","1,034",17,17,,,,,,,,,,,,,,,,,,,,,,,,,,
Real ,"3,425","1,693","1,732","1,207","1,257",10,13,440,420,36,42,,,,,,,,,,,,,,,,,,,,,,,,,,
Red River ,"12,850","6,258","6,592","4,622","4,807","1,025","1,208",471,424,140,153,,,,,,,,,,,,,,,,,,,,,,,,,,
Reeves ,"13,888","8,339","5,549","1,764",895,575,93,"5,885","4,484",115,77,,,,,,,,,,,,,,,,,,,,,,,,,,
Refugio ,"7,433","3,685","3,748","1,631","1,673",243,209,"1,747","1,818",64,48,,,,,,,,,,,,,,,,,,,,,,,,,,
