Year,Area Code,Area Name,Age,Total Pop,Total Male,Total Female,Anglo Total,Anglo Male,Anglo Female,Black Total,Black Male,Black Female,Hispanic Total,Hispanic Male,Hispanic Female,Other Total,Other Male,Other Female
2011,369,Parmer,All (0-85+),"10,338","5,303","5,035","3,873","1,926","1,947",87,48,39,"6,310","3,298","3,012",68,31,37
2011,371,Pecos,All (0-85+),"15,520","8,738","6,782","4,287","2,530","1,757",527,494,33,"10,484","5,601","4,883",222,113,109
2011,373,Polk,All (0-85+),"45,605","24,385","21,220","32,791","16,779","16,012","5,164","3,197","1,967","6,152","3,705","2,447","1,498",704,794
2011,375,Potter,All (0-85+),"122,300","62,570","59,730","58,725","28,969","29,756","11,914","6,896","5,018","44,054","22,844","21,210","7,607","3,861","3,746"
2011,377,Presidio,All (0-85+),"7,901","3,867","4,034","1,141",604,537,31,22,9,"6,601","3,173","3,428",128,68,60
2011,379,Rains,All (0-85+),"11,065","5,559","5,506","9,674","4,828","4,846",245,132,113,868,462,406,278,137,141
2011,381,Randall,All (0-85+),"123,899","60,372","63,527","95,726","46,153","49,573","2,853","1,597","1,256","21,202","10,537","10,665","4,118","2,085","2,033"
2011,383,Reagan,All (0-85+),"3,388","1,761","1,627","1,214",598,616,65,40,25,"2,079","1,106",973,30,17,13
2011,385,Real,All (0-85+),"3,387","1,682","1,705","2,447","1,204","1,243",21,9,12,841,433,408,78,36,42
2011,387,Red River,All (0-85+),"12,839","6,246","6,593","9,449","4,626","4,823","2,223","1,019","1,204",876,463,413,291,138,153
2011,389,Reeves,All (0-85+),"13,832","8,316","5,516","2,673","1,776",897,674,578,96,"10,296","5,849","4,447",189,113,76
2011,391,Refugio,All (0-85+),"7,391","3,677","3,714","3,301","1,638","1,663",452,242,210,"3,527","1,734","1,793",111,63,48
2011,393,Roberts,All (0-85+),934,475,459,848,425,423,0,0,0,72,41,31,14,9,5
2011,395,Robertson,All (0-85+),"17,021","8,432","8,589","9,961","4,982","4,979","3,619","1,690","1,929","3,138","1,606","1,532",303,154,149
2011,397,Rockwall,All (0-85+),"81,204","40,027","41,177","59,648","29,202","30,446","4,641","2,287","2,354","13,286","6,803","6,483","3,629","1,735","1,894"
2011,399,Runnels,All (0-85+),"10,569","5,238","5,331","6,834","3,336","3,498",162,89,73,"3,440","1,753","1,687",133,60,73
