county,total_number_2010,total_percent_2010,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010,geo,geo_two,GISJOIN,Geographic Area,total_number_2011,total_percent_2011,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,geo_two2,GISJOIN2,geo_two2_2,GISJOIN2_2,Geographic Area2,total_number_2012,total_percent_2012,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,geo_two2_3,GISJOIN2_3,geo_two2_4,GISJOIN2_4,Geographic Area2_2,total_number_2013,total_percent_2013,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,geo_two2_5,GISJOIN2_5,geo_two2_6,GISJOIN2_6,Geographic Area2_3,total_number_2014,total_percent_2014,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,geo_two2_7,GISJOIN2_7,total_sum_2010_2014,white_sum_2010_2014,black_sum_2010_2014,hispanic_sum_2010_2014
OLDHAM,13,*,13,*,0,-,0,-,0500000US48359,48359,G4803590,OLDHAM,16,*,15,*,0,-,1,*,48359,G4803590,48359,G4803590,OLDHAM,13,*,13,*,0,-,0,-,48359,G4803590,48359,G4803590,OLDHAM,24,77.4,22,81.5,0,-,2,*,48359,G4803590,48359,G4803590,OLDHAM,18,81.8,17,*,0,-,1,*,48359,G4803590,84,80,0,4
ORANGE,617,68.9,524,70.8,45,53.6,48,67.6,0500000US48361,48361,G4803610,ORANGE,670,71.9,570,74.4,57,58.2,43,63.2,48361,G4803610,48361,G4803610,ORANGE,701,70.4,589,73.8,58,52.3,54,62.1,48361,G4803610,48361,G4803610,ORANGE,637,65.8,532,67.8,56,54.4,49,61.3,48361,G4803610,48361,G4803610,ORANGE,611,62.9,525,64.3,39,52,47,58,48361,G4803610,3236,2740,255,241
PALO PINTO,234,65.9,176,71,2,*,56,56.6,0500000US48363,48363,G4803630,PALO PINTO,241,65.7,177,69.7,4,*,60,56.1,48363,G4803630,48363,G4803630,PALO PINTO,270,71.8,194,74.6,5,*,71,64.5,48363,G4803630,48363,G4803630,PALO PINTO,262,70.4,192,74.7,3,*,67,60.9,48363,G4803630,48363,G4803630,PALO PINTO,259,71.7,204,78.5,5,*,50,52.6,48363,G4803630,1266,943,19,304
PANOLA,130,55.6,96,60.4,23,51.1,11,36.7,0500000US48365,48365,G4803650,PANOLA,205,62.9,158,69.6,20,48.8,27,46.6,48365,G4803650,48365,G4803650,PANOLA,151,55.5,117,60.3,20,51.3,14,35.9,48365,G4803650,48365,G4803650,PANOLA,155,53.8,122,62.2,17,37.8,16,34,48365,G4803650,48365,G4803650,PANOLA,152,55.3,124,62.3,16,43.2,12,30.8,48365,G4803650,793,617,96,80
PARKER,834,64.5,733,68.6,10,*,91,42.7,0500000US48367,48367,G4803670,PARKER,911,70.5,813,74.2,4,*,94,50.3,48367,G4803670,48367,G4803670,PARKER,969,72.2,858,75.3,13,*,98,52.4,48367,G4803670,48367,G4803670,PARKER,887,69.2,794,73.1,4,*,89,47.6,48367,G4803670,48367,G4803670,PARKER,1037,73,920,76.9,7,*,110,50.9,48367,G4803670,4638,4118,38,482
PARMER,71,52.2,22,62.9,0,-,49,48.5,0500000US48369,48369,G4803690,PARMER,90,54.9,32,80,1,*,57,46.3,48369,G4803690,48369,G4803690,PARMER,79,53,28,66.7,0,-,51,47.7,48369,G4803690,48369,G4803690,PARMER,69,49.3,29,59.2,0,-,40,44,48369,G4803690,48369,G4803690,PARMER,63,53.4,23,63.9,1,*,39,48.1,48369,G4803690,372,134,2,236
PECOS,133,62.7,25,61,1,*,107,63.3,0500000US48371,48371,G4803710,PECOS,132,57.6,26,54.2,1,*,105,58.3,48371,G4803710,48371,G4803710,PECOS,109,54.2,29,65.9,0,-,80,51,48371,G4803710,48371,G4803710,PECOS,161,69.4,42,75,2,*,117,67.2,48371,G4803710,48371,G4803710,PECOS,121,55.3,31,62,1,*,89,53.3,48371,G4803710,656,153,5,498
POLK,285,58.9,210,61.8,23,51.1,52,52.5,0500000US48373,48373,G4803730,POLK,268,57.4,192,57.3,28,65.1,48,53.9,48373,G4803730,48373,G4803730,POLK,275,57.4,202,59.1,28,58.3,45,50.6,48373,G4803730,48373,G4803730,POLK,274,53.2,204,54.3,15,36.6,55,56.1,48373,G4803730,48373,G4803730,POLK,276,59.5,220,62.5,11,45.8,45,51.1,48373,G4803730,1378,1028,105,245
POTTER,1023,49.2,546,57.9,93,39.2,384,42.6,0500000US48375,48375,G4803750,POTTER,1168,57.8,569,64.2,100,43.3,499,55.3,48375,G4803750,48375,G4803750,POTTER,1233,58.8,579,61.5,101,45.3,553,59.3,48375,G4803750,48375,G4803750,POTTER,1187,57.5,580,63,120,51.1,487,53.7,48375,G4803750,48375,G4803750,POTTER,1194,57.8,522,60.9,116,50.4,556,56.9,48375,G4803750,5805,2796,530,2479
PRESIDIO,53,39.6,7,*,1,*,45,38.8,0500000US48377,48377,G4803770,PRESIDIO,37,34.3,5,*,0,-,32,33,48377,G4803770,48377,G4803770,PRESIDIO,50,47.6,4,*,0,-,46,46.5,48377,G4803770,48377,G4803770,PRESIDIO,55,42,8,*,0,-,47,41.2,48377,G4803770,48377,G4803770,PRESIDIO,71,51.1,8,*,1,*,62,49.2,48377,G4803770,266,32,2,232
RAINS,61,59.8,52,61.2,1,*,8,*,0500000US48379,48379,G4803790,RAINS,57,58.2,51,61.4,0,-,6,*,48379,G4803790,48379,G4803790,RAINS,76,68.5,64,69.6,1,*,11,*,48379,G4803790,48379,G4803790,RAINS,57,63.3,49,63.6,1,*,7,*,48379,G4803790,48379,G4803790,RAINS,48,55.8,45,58.4,0,-,3,*,48379,G4803790,299,261,3,35
RANDALL,1071,69.2,844,72.9,20,46.5,207,59.7,0500000US48381,48381,G4803810,RANDALL,1257,76.3,974,77.9,27,61.4,256,72.5,48381,G4803810,48381,G4803810,RANDALL,1192,73.9,925,77.1,30,56.6,237,65.8,48381,G4803810,48381,G4803810,RANDALL,1251,74.3,952,76.7,32,58.2,267,69,48381,G4803810,48381,G4803810,RANDALL,1269,72.1,950,76.2,41,57.7,278,63,48381,G4803810,6040,4645,150,1245
REAGAN,22,42.3,10,*,0,-,12,35.3,0500000US48383,48383,G4803830,REAGAN,23,46,10,*,1,*,12,36.4,48383,G4803830,48383,G4803830,REAGAN,28,54.9,11,*,0,-,17,47.2,48383,G4803830,48383,G4803830,REAGAN,48,58.5,19,82.6,1,*,28,48.3,48383,G4803830,48383,G4803830,REAGAN,26,55.3,4,*,1,*,21,58.3,48383,G4803830,147,54,3,90
REAL,18,48.6,13,54.2,0,-,5,*,0500000US48385,48385,G4803850,REAL,18,54.5,13,56.5,0,-,5,*,48385,G4803850,48385,G4803850,REAL,16,51.6,11,52.4,0,-,5,*,48385,G4803850,48385,G4803850,REAL,15,46.9,9,42.9,0,-,6,*,48385,G4803850,48385,G4803850,REAL,19,52.8,13,54.2,0,-,6,*,48385,G4803850,86,59,0,27
RED RIVER,95,69.3,74,76.3,13,56.5,8,*,0500000US48387,48387,G4803870,RED RIVER,83,67.5,65,75.6,12,*,6,*,48387,G4803870,48387,G4803870,RED RIVER,72,56.7,61,69.3,9,32.1,2,*,48387,G4803870,48387,G4803870,RED RIVER,98,63.6,80,70.8,11,47.8,7,*,48387,G4803870,48387,G4803870,RED RIVER,67,54,54,59.3,6,*,7,*,48387,G4803870,415,334,51,30
REEVES,113,69.3,16,76.2,0,-,97,68.3,0500000US48389,48389,G4803890,REEVES,104,67.1,14,*,1,*,89,65.4,48389,G4803890,48389,G4803890,REEVES,106,65,12,52.2,0,-,94,67.1,48389,G4803890,48389,G4803890,REEVES,147,76.2,20,95.2,2,*,125,73.5,48389,G4803890,48389,G4803890,REEVES,129,65.2,16,69.6,1,*,112,64.4,48389,G4803890,599,78,4,517
REFUGIO,50,61,18,64.3,0,-,32,60.4,0500000US48391,48391,G4803910,REFUGIO,74,82.2,31,91.2,6,*,37,75.5,48391,G4803910,48391,G4803910,REFUGIO,55,67.9,26,72.2,0,-,29,64.4,48391,G4803910,48391,G4803910,REFUGIO,44,62.9,12,*,4,*,28,62.2,48391,G4803910,48391,G4803910,REFUGIO,49,53.8,24,50,5,*,20,54.1,48391,G4803910,272,111,15,146
ROBERTS,10,*,10,*,0,-,0,-,0500000US48393,48393,G4803930,ROBERTS,7,*,7,*,0,-,0,-,48393,G4803930,48393,G4803930,ROBERTS,6,*,6,*,0,-,0,-,48393,G4803930,48393,G4803930,ROBERTS,6,*,6,*,0,-,0,-,48393,G4803930,48393,G4803930,ROBERTS,7,*,7,*,0,-,0,-,48393,G4803930,36,36,0,0
ROBERTSON,77,53.5,37,62.7,16,51.6,24,44.4,0500000US48395,48395,G4803950,ROBERTSON,108,60.7,57,64,26,53.1,25,62.5,48395,G4803950,48395,G4803950,ROBERTSON,94,57.7,55,67.9,13,41.9,26,51,48395,G4803950,48395,G4803950,ROBERTSON,95,52.2,47,57.3,16,30.8,32,66.7,48395,G4803950,48395,G4803950,ROBERTSON,126,56.8,72,62.6,19,39.6,35,59.3,48395,G4803950,500,268,90,142
ROCKWALL,640,69.2,509,72.9,25,62.5,106,56.7,0500000US48397,48397,G4803970,ROCKWALL,666,69.5,506,72.8,32,61.5,128,60.7,48397,G4803970,48397,G4803970,ROCKWALL,633,66.8,510,72.9,20,45.5,103,50.7,48397,G4803970,48397,G4803970,ROCKWALL,647,67.2,505,71.2,27,65.9,115,54,48397,G4803970,48397,G4803970,ROCKWALL,631,65.1,494,70.1,24,48,113,52.8,48397,G4803970,3217,2524,128,565
RUNNELS,74,57.4,50,70.4,1,*,23,41.1,0500000US48399,48399,G4803990,RUNNELS,88,68.8,57,79.2,0,-,31,57.4,48399,G4803990,48399,G4803990,RUNNELS,62,63.3,40,70.2,1,*,21,52.5,48399,G4803990,48399,G4803990,RUNNELS,52,54.2,33,56.9,1,*,18,48.6,48399,G4803990,48399,G4803990,RUNNELS,62,63.3,43,74.1,1,*,18,46.2,48399,G4803990,338,223,4,111
RUSK,343,52.7,244,61.3,41,43.2,58,36.7,0500000US48401,48401,G4804010,RUSK,400,61.8,276,67.8,45,54.2,79,50.3,48401,G4804010,48401,G4804010,RUSK,378,55.2,248,60.6,52,53.6,78,43.6,48401,G4804010,48401,G4804010,RUSK,363,59,237,63.2,51,60.7,75,48.1,48401,G4804010,48401,G4804010,RUSK,334,58.6,227,63.8,35,53.8,72,48.3,48401,G4804010,1818,1232,224,362
SABINE,49,59,44,57.9,3,*,2,*,0500000US48403,48403,G4804030,SABINE,55,61.8,48,65.8,4,*,3,*,48403,G4804030,48403,G4804030,SABINE,49,62.8,41,63.1,4,*,4,*,48403,G4804030,48403,G4804030,SABINE,48,51.6,38,48.1,4,*,6,*,48403,G4804030,48403,G4804030,SABINE,61,74.4,53,74.6,3,*,5,*,48403,G4804030,262,224,18,20
SAN AUGUSTINE,54,57.4,31,63.3,17,50,6,*,0500000US48405,48405,G4804050,SAN AUGUSTINE,73,66.4,47,73.4,12,41.4,14,*,48405,G4804050,48405,G4804050,SAN AUGUSTINE,62,55.9,36,59,11,36.7,15,*,48405,G4804050,48405,G4804050,SAN AUGUSTINE,56,57.7,32,58.2,15,55.6,9,*,48405,G4804050,48405,G4804050,SAN AUGUSTINE,52,56.5,41,67.2,10,47.6,1,*,48405,G4804050,297,187,65,45
SAN JACINTO,136,48.1,109,49.8,10,40,17,43.6,0500000US48407,48407,G4804070,SAN JACINTO,149,58.7,112,58.9,13,54.2,24,60,48407,G4804070,48407,G4804070,SAN JACINTO,144,53.1,101,50,12,54.5,31,66,48407,G4804070,48407,G4804070,SAN JACINTO,154,55.8,122,58.7,12,38.7,20,54.1,48407,G4804070,48407,G4804070,SAN JACINTO,149,54.2,108,54.5,16,57.1,25,51,48407,G4804070,732,552,63,117
SAN PATRICIO,573,64.3,222,73.3,3,*,348,60.1,0500000US48409,48409,G4804090,SAN PATRICIO,531,61.7,214,68.4,4,*,313,58.3,48409,G4804090,48409,G4804090,SAN PATRICIO,547,63.9,231,73.3,0,-,316,59,48409,G4804090,48409,G4804090,SAN PATRICIO,525,57.1,198,66,10,*,317,52.1,48409,G4804090,48409,G4804090,SAN PATRICIO,520,51,198,55.3,6,*,316,48.6,48409,G4804090,2696,1063,23,1610
SAN SABA,34,58.6,23,79.3,0,-,11,37.9,0500000US48411,48411,G4804110,SAN SABA,40,58,26,70.3,0,-,14,43.8,48411,G4804110,48411,G4804110,SAN SABA,43,58.9,28,71.8,0,-,15,44.1,48411,G4804110,48411,G4804110,SAN SABA,37,69.8,18,69.2,0,-,19,70.4,48411,G4804110,48411,G4804110,SAN SABA,46,70.8,21,67.7,0,-,25,73.5,48411,G4804110,200,116,0,84
SCHLEICHER,28,70,15,71.4,0,-,13,*,0500000US48413,48413,G4804130,SCHLEICHER,23,69.7,10,*,0,-,13,*,48413,G4804130,48413,G4804130,SCHLEICHER,21,55.3,7,*,0,-,14,50,48413,G4804130,48413,G4804130,SCHLEICHER,23,56.1,11,*,0,-,12,42.9,48413,G4804130,48413,G4804130,SCHLEICHER,23,57.5,6,*,0,-,17,53.1,48413,G4804130,118,49,0,69
SCURRY,129,46.1,69,57.5,2,*,58,38.7,0500000US48415,48415,G4804150,SCURRY,99,40.4,61,51.7,1,*,37,30.1,48415,G4804150,48415,G4804150,SCURRY,122,45.5,66,53.2,4,*,52,38.5,48415,G4804150,48415,G4804150,SCURRY,105,43.8,54,53.5,2,*,49,36.8,48415,G4804150,48415,G4804150,SCURRY,146,56.4,83,63.4,4,*,59,48.8,48415,G4804150,601,333,13,255
SHACKELFORD,17,63,15,68.2,0,-,2,*,0500000US48417,48417,G4804170,SHACKELFORD,23,76.7,21,80.8,0,-,2,*,48417,G4804170,48417,G4804170,SHACKELFORD,26,63.4,20,60.6,0,-,6,*,48417,G4804170,48417,G4804170,SHACKELFORD,24,70.6,24,80,0,-,0,-,48417,G4804170,48417,G4804170,SHACKELFORD,11,47.8,8,*,0,-,3,*,48417,G4804170,101,88,0,13
SHELBY,180,53.9,103,62.8,33,45.2,44,45.4,0500000US48419,48419,G4804190,SHELBY,193,58.7,106,57.9,29,49.2,58,66.7,48419,G4804190,48419,G4804190,SHELBY,201,55.2,121,59.6,17,34,63,56.8,48419,G4804190,48419,G4804190,SHELBY,193,54.7,124,61.7,19,33.3,50,52.6,48419,G4804190,48419,G4804190,SHELBY,200,60.1,108,59.7,28,53.8,64,64,48419,G4804190,967,562,126,279
SHERMAN,13,43.3,5,*,1,*,7,*,0500000US48421,48421,G4804210,SHERMAN,33,67.3,22,84.6,0,-,11,47.8,48421,G4804210,48421,G4804210,SHERMAN,25,71.4,13,*,0,-,12,*,48421,G4804210,48421,G4804210,SHERMAN,24,58.5,9,*,0,-,15,55.6,48421,G4804210,48421,G4804210,SHERMAN,21,55.3,9,*,0,-,12,48,48421,G4804210,116,58,1,57
SMITH,1188,50,834,60.4,155,38.1,199,33.7,0500000US48423,48423,G4804230,SMITH,1409,57.3,970,67.5,186,43.8,253,42.3,48423,G4804230,48423,G4804230,SMITH,1456,54.3,935,62.1,194,44.1,327,44.5,48423,G4804230,48423,G4804230,SMITH,1359,45.3,887,55.7,199,38.1,273,30.7,48423,G4804230,48423,G4804230,SMITH,1540,50.1,1024,61.7,192,39.8,324,34.7,48423,G4804230,6952,4650,926,1376
SOMERVELL,65,67,51,78.5,0,-,14,43.8,0500000US48425,48425,G4804250,SOMERVELL,39,56.5,33,60,1,*,5,*,48425,G4804250,48425,G4804250,SOMERVELL,61,64.9,46,70.8,1,*,14,50,48425,G4804250,48425,G4804250,SOMERVELL,69,75.8,46,76.7,0,-,23,74.2,48425,G4804250,48425,G4804250,SOMERVELL,51,60,32,60.4,0,-,19,61.3,48425,G4804250,285,208,2,75
STARR,369,44.7,3,*,0,-,366,44.5,0500000US48427,48427,G4804270,STARR,505,57.3,4,*,0,-,501,57.3,48427,G4804270,48427,G4804270,STARR,411,53.6,5,*,0,-,406,53.4,48427,G4804270,48427,G4804270,STARR,417,56.1,2,*,0,-,415,56.2,48427,G4804270,48427,G4804270,STARR,391,52.6,4,*,0,-,387,52.4,48427,G4804270,2093,18,0,2075
STEPHENS,63,57.3,47,65.3,2,*,14,40,0500000US48429,48429,G4804290,STEPHENS,59,60.8,43,67.2,0,-,16,48.5,48429,G4804290,48429,G4804290,STEPHENS,75,76.5,58,79.5,1,*,16,66.7,48429,G4804290,48429,G4804290,STEPHENS,77,68.8,50,70.4,2,*,25,64.1,48429,G4804290,48429,G4804290,STEPHENS,62,64.6,39,63.9,0,-,23,65.7,48429,G4804290,336,237,5,94
STERLING,9,*,7,*,0,-,2,*,0500000US48431,48431,G4804310,STERLING,5,*,4,*,0,-,1,*,48431,G4804310,48431,G4804310,STERLING,8,*,6,*,0,-,2,*,48431,G4804310,48431,G4804310,STERLING,10,*,4,*,0,-,6,*,48431,G4804310,48431,G4804310,STERLING,13,*,8,*,0,-,5,*,48431,G4804310,45,29,0,16
STONEWALL,10,*,8,*,0,-,2,*,0500000US48433,48433,G4804330,STONEWALL,8,*,7,*,0,-,1,*,48433,G4804330,48433,G4804330,STONEWALL,7,*,6,*,0,-,1,*,48433,G4804330,48433,G4804330,STONEWALL,9,*,9,*,0,-,0,-,48433,G4804330,48433,G4804330,STONEWALL,10,*,7,*,0,-,3,*,48433,G4804330,44,37,0,7
SUTTON,16,38.1,8,*,0,-,8,28.6,0500000US48435,48435,G4804350,SUTTON,27,48.2,10,*,0,-,17,44.7,48435,G4804350,48435,G4804350,SUTTON,26,48.1,13,*,0,-,13,37.1,48435,G4804350,48435,G4804350,SUTTON,33,56.9,11,*,1,*,21,55.3,48435,G4804350,48435,G4804350,SUTTON,32,60.4,18,78.3,0,-,14,46.7,48435,G4804350,134,60,1,73
SWISHER,58,51.3,25,75.8,1,*,32,42.7,0500000US48437,48437,G4804370,SWISHER,68,53.5,30,66.7,2,*,36,48,48437,G4804370,48437,G4804370,SWISHER,55,57.9,20,60.6,1,*,34,57.6,48437,G4804370,48437,G4804370,SWISHER,73,66.4,33,84.6,4,*,36,54.5,48437,G4804370,48437,G4804370,SWISHER,53,55.8,14,66.7,5,*,34,51.5,48437,G4804370,307,122,13,172
TARRANT,14413,52.1,8566,65.2,2041,46.8,3806,37.4,0500000US48439,48439,G4804390,TARRANT,15041,55.5,8772,67.3,2161,50.5,4108,42,48439,G4804390,48439,G4804390,TARRANT,15079,55.1,9074,68.7,2133,48.9,3872,39.4,48439,G4804390,48439,G4804390,TARRANT,15667,57.2,9092,69.5,2246,51.3,4329,43.6,48439,G4804390,48439,G4804390,TARRANT,16187,57.7,9043,68.6,2509,52.3,4635,46,48439,G4804390,76387,44547,11090,20750
TAYLOR,1310,66.4,908,70.2,98,60.9,304,58.5,0500000US48441,48441,G4804410,TAYLOR,1437,71.1,1017,77.3,95,56.5,325,60.6,48441,G4804410,48441,G4804410,TAYLOR,1465,71.7,998,75.7,88,57.9,379,66,48441,G4804410,48441,G4804410,TAYLOR,1342,67.3,928,72.3,94,62.3,320,57.1,48441,G4804410,48441,G4804410,TAYLOR,1378,65.2,963,68.8,79,54.1,336,58.9,48441,G4804410,6932,4814,454,1664
TERRELL,8,*,3,*,0,-,5,*,0500000US48443,48443,G4804430,TERRELL,7,*,4,*,0,-,3,*,48443,G4804430,48443,G4804430,TERRELL,8,*,4,*,0,-,4,*,48443,G4804430,48443,G4804430,TERRELL,2,*,1,*,0,-,1,*,48443,G4804430,48443,G4804430,TERRELL,12,*,6,*,0,-,6,*,48443,G4804430,37,18,0,19
TERRY,80,45.5,32,54.2,4,*,44,40.4,0500000US48445,48445,G4804450,TERRY,103,54.2,33,60,0,-,70,53,48445,G4804450,48445,G4804450,TERRY,97,49.2,41,55.4,1,*,55,45.1,48445,G4804450,48445,G4804450,TERRY,87,42.9,32,45.7,1,*,54,41.5,48445,G4804450,48445,G4804450,TERRY,100,48.1,40,53.3,1,*,59,45.4,48445,G4804450,467,178,7,282
THROCKMORTON,15,*,14,*,0,-,1,*,0500000US48447,48447,G4804470,THROCKMORTON,8,*,8,*,0,-,0,-,48447,G4804470,48447,G4804470,THROCKMORTON,12,*,12,*,0,-,0,-,48447,G4804470,48447,G4804470,THROCKMORTON,14,*,13,*,0,-,1,*,48447,G4804470,48447,G4804470,THROCKMORTON,10,*,10,*,0,-,0,-,48447,G4804470,59,57,0,2
TITUS,299,59.2,117,70.1,24,54.5,158,53.7,0500000US48449,48449,G4804490,TITUS,311,63.1,117,72.2,28,70,166,57,48449,G4804490,48449,G4804490,TITUS,256,51.1,118,67,16,47.1,122,41.9,48449,G4804490,48449,G4804490,TITUS,296,59.9,126,80.3,27,60,143,49,48449,G4804490,48449,G4804490,TITUS,234,43.7,111,57.2,17,39.5,106,35.5,48449,G4804490,1396,589,112,695
TOM GREEN,963,62.3,585,71.7,27,52.9,351,51.8,0500000US48451,48451,G4804510,TOM GREEN,905,59.4,569,68.8,34,57.6,302,47.4,48451,G4804510,48451,G4804510,TOM GREEN,937,63.1,578,71.5,18,58.1,341,52.7,48451,G4804510,48451,G4804510,TOM GREEN,1004,64.6,577,70.7,23,57.5,404,58,48451,G4804510,48451,G4804510,TOM GREEN,1089,65.8,630,72,22,47.8,437,59.5,48451,G4804510,4898,2939,124,1835
TRAVIS,10461,66.8,5834,82.8,773,64.2,3854,51.9,0500000US48453,48453,G4804530,TRAVIS,10641,68.9,5946,82.8,757,63.6,3938,55.7,48453,G4804530,48453,G4804530,TRAVIS,11285,71.7,6349,84.1,776,66.3,4160,59.3,48453,G4804530,48453,G4804530,TRAVIS,11545,73.9,6441,85.9,806,68.7,4298,61.8,48453,G4804530,48453,G4804530,TRAVIS,11893,73,6628,83.4,864,66.2,4401,62.5,48453,G4804530,55825,31198,3976,20651
TRINITY,115,65.3,85,68.5,11,*,19,59.4,0500000US48455,48455,G4804550,TRINITY,91,65.9,72,66.7,7,*,12,*,48455,G4804550,48455,G4804550,TRINITY,66,60,53,69.7,5,*,8,*,48455,G4804550,48455,G4804550,TRINITY,81,68.1,68,74.7,9,*,4,*,48455,G4804550,48455,G4804550,TRINITY,88,58.3,72,60,4,*,12,*,48455,G4804550,441,350,36,55
TYLER,136,61.3,115,63.5,14,51.9,7,*,0500000US48457,48457,G4804570,TYLER,130,63.1,117,64.6,7,*,6,*,48457,G4804570,48457,G4804570,TYLER,150,62.5,136,65.1,7,33.3,7,*,48457,G4804570,48457,G4804570,TYLER,132,61.4,116,61.4,12,*,4,*,48457,G4804570,48457,G4804570,TYLER,132,62.6,114,64.8,12,50,6,*,48457,G4804570,680,598,52,30
UPSHUR,261,52.7,213,53.7,25,56.8,23,42.6,0500000US48459,48459,G4804590,UPSHUR,266,56.6,226,60.1,16,41,24,43.6,48459,G4804590,48459,G4804590,UPSHUR,249,54.6,209,57.3,14,51.9,26,40.6,48459,G4804590,48459,G4804590,UPSHUR,245,50.2,214,54.3,16,42.1,15,26.8,48459,G4804590,48459,G4804590,UPSHUR,284,58.2,235,58.6,20,58.8,29,54.7,48459,G4804590,1305,1097,91,117
UPTON,31,81.6,18,85.7,0,-,13,*,0500000US48461,48461,G4804610,UPTON,32,61.5,16,66.7,0,-,16,57.1,48461,G4804610,48461,G4804610,UPTON,33,63.5,15,60,0,-,18,66.7,48461,G4804610,48461,G4804610,UPTON,43,74.1,23,74.2,0,-,20,74.1,48461,G4804610,48461,G4804610,UPTON,29,59.2,14,*,0,-,15,50,48461,G4804610,168,86,0,82
UVALDE,230,56.9,60,65.9,1,*,169,54.2,0500000US48463,48463,G4804630,UVALDE,239,61.8,52,66.7,4,*,183,60,48463,G4804630,48463,G4804630,UVALDE,233,63.5,70,72.2,1,*,162,60.2,48463,G4804630,48463,G4804630,UVALDE,276,66.5,61,65.6,1,*,214,66.7,48463,G4804630,48463,G4804630,UVALDE,252,62.7,63,67,0,-,189,61.6,48463,G4804630,1230,306,7,917
VAL VERDE,334,37.8,73,54.1,7,*,254,34.4,0500000US48465,48465,G4804650,VAL VERDE,296,34.7,57,42.9,5,*,234,33,48465,G4804650,48465,G4804650,VAL VERDE,344,40.3,74,54.8,5,*,265,37.3,48465,G4804650,48465,G4804650,VAL VERDE,310,35.4,76,55.5,3,*,231,31.6,48465,G4804650,48465,G4804650,VAL VERDE,325,37.8,75,53.2,3,*,247,34.9,48465,G4804650,1609,355,23,1231
VAN ZANDT,279,53.4,242,57.1,7,*,30,37.5,0500000US48467,48467,G4804670,VAN ZANDT,286,57.3,256,61.7,3,*,27,35.1,48467,G4804670,48467,G4804670,VAN ZANDT,302,54.5,274,57.7,1,*,27,36.5,48467,G4804670,48467,G4804670,VAN ZANDT,325,56.1,285,59.4,5,*,35,41.7,48467,G4804670,48467,G4804670,VAN ZANDT,315,57,265,60.8,4,*,46,46.5,48467,G4804670,1507,1322,20,165
VICTORIA,856,66.3,381,74,47,63.5,428,61,0500000US48469,48469,G4804690,VICTORIA,813,67.5,376,77.2,21,40.4,416,62.5,48469,G4804690,48469,G4804690,VICTORIA,852,70.2,413,77.6,31,62,408,64.6,48469,G4804690,48469,G4804690,VICTORIA,877,73,415,81.4,38,58.5,424,67.6,48469,G4804690,48469,G4804690,VICTORIA,951,73,431,81.8,33,68.8,487,67,48469,G4804690,4349,2016,170,2163
WALKER,418,68.9,238,70.4,78,65,102,68.5,0500000US48471,48471,G4804710,WALKER,423,71.2,255,74.8,80,66.7,88,66.2,48471,G4804710,48471,G4804710,WALKER,390,67.8,226,70,65,61.3,99,67.8,48471,G4804710,48471,G4804710,WALKER,387,62.2,218,63,66,55,103,66,48471,G4804710,48471,G4804710,WALKER,430,65.4,253,69.7,91,63.2,86,57.3,48471,G4804710,2048,1190,380,478
WALLER,349,60.1,132,66.3,67,54.5,150,57.9,0500000US48473,48473,G4804730,WALLER,290,55.8,134,71.3,41,40.2,115,50,48473,G4804730,48473,G4804730,WALLER,362,65.6,140,70,57,55.3,165,66.3,48473,G4804730,48473,G4804730,WALLER,405,71.2,170,79.8,53,66.3,182,65.9,48473,G4804730,48473,G4804730,WALLER,415,64.8,192,73.3,40,54.8,183,60,48473,G4804730,1821,768,258,795
WARD,105,77.2,49,80.3,9,*,47,74.6,0500000US48475,48475,G4804750,WARD,101,62,44,56.4,9,*,48,66.7,48475,G4804750,48475,G4804750,WARD,123,73.2,58,77.3,4,*,61,69.3,48475,G4804750,48475,G4804750,WARD,167,87.4,73,92.4,9,*,85,82.5,48475,G4804750,48475,G4804750,WARD,126,67.7,49,73.1,7,*,70,63.6,48475,G4804750,622,273,38,311
WASHINGTON,223,57.5,131,68.6,48,51.1,44,42.7,0500000US48477,48477,G4804770,WASHINGTON,231,58.6,141,74.2,43,53.1,47,38.2,48477,G4804770,48477,G4804770,WASHINGTON,205,57.3,128,67.4,29,50.9,48,43.2,48477,G4804770,48477,G4804770,WASHINGTON,199,54.7,123,65.1,35,44.3,41,42.7,48477,G4804770,48477,G4804770,WASHINGTON,236,60.7,155,72.4,41,56.9,40,38.8,48477,G4804770,1094,678,196,220
WEBB,3911,72,140,90.9,1,*,3770,71.4,0500000US48479,48479,G4804790,WEBB,4355,81.7,127,87.6,1,*,4227,81.5,48479,G4804790,48479,G4804790,WEBB,4146,77.7,141,87.6,6,*,3999,77.4,48479,G4804790,48479,G4804790,WEBB,3968,75.1,142,88.8,4,*,3822,74.6,48479,G4804790,48479,G4804790,WEBB,3391,68.5,85,82.5,1,*,3305,68.2,48479,G4804790,19771,635,13,19123
