county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,white_number_2014,white_percent_2014,black_number_2014,black_percent_2014,hispanic_number_2014,hispanic_percent_2014,white_number_2013,white_percent_2013,black_number_2013,black_percent_2013,hispanic_number_2013,hispanic_percent_2013,white_number_2012,white_percent_2012,black_number_2012,black_percent_2012,hispanic_number_2012,hispanic_percent_2012,white_number_2011,white_percent_2011,black_number_2011,black_percent_2011,hispanic_number_2011,hispanic_percent_2011,white_number_2010,white_percent_2010,black_number_2010,black_percent_2010,hispanic_number_2010,hispanic_percent_2010
SWISHER,55.8,66.4,57.9,53.5,51.3,53,73,55,68,58,14,66.7,5,*,34,51.5,33,84.6,4,*,36,54.5,20,60.6,1,*,34,57.6,30,66.7,2,*,36,48,25,75.8,1,*,32,42.7
GREGG,55.9,46.5,49,54.8,49.9,"1,086",862,938,"1,033",940,616,62.5,208,49.3,262,48.9,511,55.1,158,40.9,193,35.9,544,56.8,173,41.3,221,41.2,601,61.9,207,52,225,43.6,547,56.3,144,40.4,249,44.8
HARRISON,56,52.2,55.1,61,54.5,460,424,448,526,446,290,62.1,79,50,91,46.2,274,60.6,87,49.2,63,34.2,299,61.6,94,55.3,55,34.8,352,65.7,83,51.6,91,55.2,290,62.2,81,48.2,75,40.5
SCURRY,56.4,43.8,45.5,40.4,46.1,146,105,122,99,129,83,63.4,4,*,59,48.8,54,53.5,2,*,49,36.8,66,53.2,4,*,52,38.5,61,51.7,1,*,37,30.1,69,57.5,2,*,58,38.7
FRANKLIN,56.5,53.4,70.5,70.8,69.4,52,62,67,80,75,46,63.9,1,*,5,*,53,60.2,5,*,4,19,51,76.1,3,*,13,52,66,72.5,2,*,12,*,58,69.9,4,*,13,*
SAN AUGUSTINE,56.5,57.7,55.9,66.4,57.4,52,56,62,73,54,41,67.2,10,47.6,1,*,32,58.2,15,55.6,9,*,36,59,11,36.7,15,*,47,73.4,12,41.4,14,*,31,63.3,17,50,6,*
KLEBERG,56.6,64,63.6,64.8,63,265,306,290,291,296,72,69.9,8,*,185,52.9,80,70.8,5,*,221,62.3,62,57.9,5,*,223,65.2,80,74.8,5,*,206,62,71,74.7,12,*,213,59
GILLESPIE,56.7,54.8,60,62.3,63.8,143,132,147,144,166,101,68.7,1,*,41,39.8,90,61.6,0,-,42,44.7,94,64.4,0,-,53,53.5,92,71.9,0,-,52,50.5,114,69.5,0,-,52,54.2
HENDERSON,56.7,57.8,54,56.2,51.1,494,498,455,492,443,392,60.8,28,50,74,43.3,386,59.1,24,50,88,54.7,347,56.4,25,48.1,83,47.4,376,59,26,46.4,90,49.5,348,53.9,24,43.6,71,42.8
ROBERTSON,56.8,52.2,57.7,60.7,53.5,126,95,94,108,77,72,62.6,19,39.6,35,59.3,47,57.3,16,30.8,32,66.7,55,67.9,13,41.9,26,51,57,64,26,53.1,25,62.5,37,62.7,16,51.6,24,44.4
