county,percent_2014,percent_2013,percent_2012,percent_2011,percent_2010,number_2014,number_2013,number_2012,number_2011,number_2010,prenatal_percent_2010_2014
ARANSAS,44.4,51.6,63.4,53.8,55.2,120,131,137,113,144,58.4
ROBERTSON,56.8,52.2,57.7,60.7,53.5,126,95,94,108,77,58.3
HALL,54.5,64.5,54.5,52.5,62.5,18,20,18,21,20,58.1
DEAF SMITH,49.4,59,63.4,62.1,52.7,159,197,223,216,175,58
IRION,*,*,*,*,*,5,10,13,11,7,58
POTTER,57.8,57.5,58.8,57.8,49.2,"1,194","1,187","1,233","1,168","1,023",58
SHELBY,60.1,54.7,55.2,58.7,53.9,200,193,201,193,180,58
YOAKUM,48.3,60.2,56.8,60.9,57.6,70,115,71,81,72,57.9
AUSTIN,55.1,57.4,60.2,59.2,53,193,182,197,189,184,57.8
SWISHER,55.8,66.4,57.9,53.5,51.3,53,73,55,68,58,57.7
FREESTONE,51.1,56,60.1,60,54.3,97,116,137,141,113,57.6
VAN ZANDT,57,56.1,54.5,57.3,53.4,315,325,302,286,279,57.3
STARR,52.6,56.1,53.6,57.3,44.7,391,417,411,505,369,57.2
BOWIE,47.9,54.2,58.2,57.7,57.5,554,619,709,644,624,57
FLOYD,66.2,49.4,56.7,59.3,52.1,43,39,51,48,50,57
HASKELL,46,69.8,60,61.1,50,23,30,27,33,23,57
HENDERSON,56.7,57.8,54,56.2,51.1,494,498,455,492,443,57
MARION,52.3,55.3,53.3,57.1,54.8,45,52,57,52,51,57
MARTIN,53.8,47.5,48.3,52.7,63.9,64,47,42,39,53,56.8
CASTRO,62.4,57.6,59.4,48.9,48.5,73,68,82,67,63,56
DONLEY,64.3,58.8,53.8,57.7,45.7,18,20,21,15,16,56
GREGG,55.9,46.5,49,54.8,49.9,"1,086",862,938,"1,033",940,56
HANSFORD,64.4,49.4,54.7,54.5,54.1,56,40,41,42,46,56
HUNT,55.7,54.3,56.4,56.9,50.3,628,578,588,595,546,56
TITUS,43.7,59.9,51.1,63.1,59.2,234,296,256,311,299,56
GARZA,49.2,53.8,50,58.8,51.9,31,35,25,40,41,55.8
HARDEMAN,68.2,43.2,60,48.7,43.5,30,16,24,19,20,55.3
CASS,55.1,53.4,52.2,53.6,53.3,188,188,176,162,187,55
LAMB,54.5,52.1,59.6,48.8,52.8,108,101,106,105,115,55
REAGAN,55.3,58.5,54.9,46,42.3,26,48,28,23,22,55
SAN JACINTO,54.2,55.8,53.1,58.7,48.1,149,154,144,149,136,55
FRIO,41.1,51.6,47.6,54.9,57.6,106,128,118,117,133,54.4
COLLINGSWORTH,67.9,54.8,48.8,48.1,52.6,19,23,20,26,30,54.1
BRISCOE,*,*,*,50,*,3,8,5,11,8,54
CHEROKEE,51,48.9,50.2,53.7,57.8,355,355,347,360,402,54
KIMBLE,41.3,52.5,55.8,56.4,64.1,19,21,24,22,25,54
LIMESTONE,55.2,50.8,57.9,49.1,51.4,176,135,176,141,148,54
MATAGORDA,54.7,56.6,55,51.8,46.2,304,282,265,263,240,54
MOTLEY,*,*,*,*,*,1,7,6,4,4,54
PARMER,53.4,49.3,53,54.9,52.2,63,69,79,90,71,54
