county,race_female_total_2010,race_female_white_2010,race_female_black_2010,race_female_hispanic_2010,race_female_other_2010,geo,geo_two,GISJOIN,race_female_total_2011,race_female_white_2011,race_female_black_2011,race_female_hispanic_2011,race_female_other_2011,geo_two2,GISJOIN2,race_female_total_2012,race_female_white_2012,race_female_black_2012,race_female_hispanic_2012,race_female_other_2012,geo2_2,geo_two2_2,GISJOIN2_2,race_female_total_2013,race_female_white_2013,race_female_black_2013,race_female_hispanic_2013,race_female_other_2013,geo2_3,geo2,geo_two2_3,GISJOIN2_3,race_female_total_2014,race_female_white_2014,race_female_black_2014,race_female_hispanic_2014,race_female_other_2014,geo2_4
LAVACA ,9847,7608,657,1510,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEE ,8202,5485,897,1758,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEON ,8416,6634,638,1055,89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIBERTY ,38453,27024,4470,6536,423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIMESTONE ,11262,7158,2097,1921,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIPSCOMB ,1640,1136,5,479,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVE OAK ,5336,3343,28,1917,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLANO ,9972,9010,51,806,105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOVING ,36,26,0,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LUBBOCK ,141045,82426,10577,44388,3654,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LYNN ,2968,1560,51,1336,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCCULLOCH ,4226,2914,69,1213,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCLENNAN ,120737,72118,18900,27324,2395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCMULLEN ,340,215,3,119,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MADISON ,5791,3815,962,936,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARION ,5375,3837,1302,164,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MARTIN ,2388,1292,47,1035,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MASON ,2034,1604,7,412,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MATAGORDA ,18339,8846,2190,6855,448,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAVERICK ,27807,731,37,26713,326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MEDINA ,22350,10801,175,11160,214,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MENARD ,1109,713,3,386,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MIDLAND ,69630,37590,4750,26042,1248,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILAM ,12532,8301,1287,2831,113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MILLS ,2491,2074,13,389,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITCHELL ,3657,2262,126,1236,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTAGUE ,10054,8954,23,962,115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MONTGOMERY ,229835,166823,10460,45830,6722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOORE ,10587,4340,86,5523,638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS ,6695,4480,1662,476,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MOTLEY ,597,504,9,79,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NACOGDOCHES ,33724,20963,6648,5505,608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NAVARRO ,24078,14717,3436,5457,468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NEWTON ,7000,5386,1372,168,74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NOLAN ,7655,4631,383,2584,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NUECES ,173185,56949,6387,105841,4008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OCHILTREE ,4986,2601,12,2321,52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OLDHAM ,1017,845,33,121,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ORANGE ,41129,34550,3711,2200,668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PALO PINTO ,14300,11358,331,2450,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PANOLA ,11988,8892,2056,897,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARKER ,57635,50493,656,5633,853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PARMER ,5010,1995,46,2951,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PECOS ,6765,1800,39,4851,75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POLK ,21125,16189,2054,2353,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
POTTER ,59154,30478,5396,20540,2740,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRESIDIO ,4000,545,10,3394,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAINS ,5429,4825,128,391,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RANDALL ,61988,49349,1444,9955,1240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REAGAN ,1619,630,25,960,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REAL ,1671,1241,11,396,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RED RIVER ,6594,4910,1223,398,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REEVES ,5502,908,100,4421,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REFUGIO ,3714,1704,214,1771,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERTS ,460,421,0,35,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROBERTSON ,8392,4960,1891,1468,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCKWALL ,39821,29999,2385,6104,1333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUNNELS ,5304,3530,82,1651,41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RUSK ,25255,17459,4239,3280,277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SABINE ,5533,4900,412,167,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN AUGUSTINE ,4505,3149,1077,253,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN JACINTO ,13179,10255,1386,1405,133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN PATRICIO ,32641,13859,497,17853,432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAN SABA ,2765,2021,12,707,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
