county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,county2,county2_2,Urbanization Status,Border Status,county22
Harrison,63.7,"1,428",52.8,435,42.5,380,69.3,104,0500000US48203,Harrison,HARRISON,Rural,Non-Border,HARRISON
Hartley,81.4,162,--,0,66.3,61,*,**,0500000US48205,Hartley,HARTLEY,Rural,Non-Border,HARTLEY
Haskell,64.7,97,*,**,54.1,46,*,**,0500000US48207,Haskell,HASKELL,Rural,Non-Border,HASKELL
Hays,78.1,"4,047",65,180,61.4,"3,208",69.3,233,0500000US48209,Hays,HAYS,Urban,Non-Border,HAYS
Hemphill,77.7,146,100,**,47.6,68,*,**,0500000US48211,Hemphill,HEMPHILL,Rural,Non-Border,HEMPHILL
Henderson,60.2,"1,862",50.8,134,48.6,424,40,42,0500000US48213,Henderson,HENDERSON,Rural,Non-Border,HENDERSON
Hidalgo,75.4,997,69.1,65,60.8,"34,085",71.8,336,0500000US48215,Hidalgo,HIDALGO,Urban,Border,HIDALGO
Hill,67,791,46.8,65,53.6,345,57.5,23,0500000US48217,Hill,HILL,Rural,Non-Border,HILL
Hockley,66.5,385,*,17,51.5,509,*,**,0500000US48219,Hockley,HOCKLEY,Rural,Non-Border,HOCKLEY
Hood,70,"1,644",*,10,45.8,234,62.1,41,0500000US48221,Hood,HOOD,Urban,Non-Border,HOOD
Hopkins,77,"1,177",62.7,96,62.6,342,61.4,27,0500000US48223,Hopkins,HOPKINS,Rural,Non-Border,HOPKINS
Houston Cnty,68.6,404,57.2,174,47.5,84,*,12,0500000US48225,Houston Cnty,HOUSTON,Rural,Non-Border,HOUSTON
Howard,65.8,712,*,20,51,561,*,18,0500000US48227,Howard,HOWARD,Rural,Non-Border,HOWARD
Hudspeth,*,10,--,0,50.8,97,--,0,0500000US48229,Hudspeth,HUDSPETH,Urban,Border,HUDSPETH
Hunt,61.6,"2,151",50.9,252,39.4,468,55.1,98,0500000US48231,Hunt,HUNT,Urban,Non-Border,HUNT
Hutchinson,69.3,717,*,15,54.2,230,64.7,22,0500000US48233,Hutchinson,HUTCHINSON,Rural,Non-Border,HUTCHINSON
Irion,73.5,36,--,0,*,13,--,0,0500000US48235,Irion,IRION,Urban,Non-Border,IRION
Jack,70.1,256,*,**,54.8,63,*,**,0500000US48237,Jack,JACK,Rural,Non-Border,JACK
Jackson,82.4,402,60.9,39,68,266,*,**,0500000US48239,Jackson,JACKSON,Rural,Non-Border,JACKSON
Jasper,67,"1,026",57.4,218,52.9,100,67.9,36,0500000US48241,Jasper,JASPER,Rural,Non-Border,JASPER
Jeff Davis,70.3,26,--,0,*,15,--,0,0500000US48243,Jeff Davis,JEFF DAVIS,Rural,Border,JEFF DAVIS
Jefferson,73.4,"3,639",63,"3,388",55.8,"2,169",63.1,500,0500000US48245,Jefferson,JEFFERSON,Urban,Non-Border,JEFFERSON
Jim Hogg,*,19,--,0,73.1,274,*,**,0500000US48247,Jim Hogg,JIM HOGG,Rural,Border,JIM HOGG
Jim Wells,60.8,245,*,**,49.9,"1,151",*,**,0500000US48249,Jim Wells,JIM WELLS,Rural,Non-Border,JIM WELLS
Johnson,69.9,"4,772",67.9,146,49.4,"1,246",45.1,128,0500000US48251,Johnson,JOHNSON,Urban,Non-Border,JOHNSON
Jones,66.8,381,*,17,51.7,125,*,**,0500000US48253,Jones,JONES,Urban,Non-Border,JONES
Karnes,67.2,164,*,**,54.5,299,*,**,0500000US48255,Karnes,KARNES,Rural,Non-Border,KARNES
Kaufman,65.4,"2,924",55.2,422,50.1,911,51.6,94,0500000US48257,Kaufman,KAUFMAN,Urban,Non-Border,KAUFMAN
Kendall,78.2,800,*,**,50.6,289,*,18,0500000US48259,Kendall,KENDALL,Urban,Non-Border,KENDALL
Kenedy,*,**,--,0,*,**,--,0,0500000US48261,Kenedy,KENEDY,Rural,Border,KENEDY
Kent,66.7,24,--,0,*,**,--,0,0500000US48263,Kent,KENT,Rural,Non-Border,KENT
Kerr,53.9,756,*,17,41.7,424,41.4,24,0500000US48265,Kerr,KERR,Rural,Non-Border,KERR
Kimble,58.4,80,--,0,40,28,--,0,0500000US48267,Kimble,KIMBLE,Rural,Non-Border,KIMBLE
King,*,**,--,0,*,**,*,**,0500000US48269,King,KING,Rural,Non-Border,KING
Kinney,70.5,31,--,0,46.5,59,*,**,0500000US48271,Kinney,KINNEY,Rural,Border,KINNEY
Kleberg,70.9,331,50.9,27,60.9,"1,036",62.3,38,0500000US48273,Kleberg,KLEBERG,Rural,Non-Border,KLEBERG
Knox,75,93,*,10,57,69,*,**,0500000US48275,Knox,KNOX,Rural,Non-Border,KNOX
Lamar,69,"1,618",56.4,299,44.7,152,50.8,64,0500000US48277,Lamar,LAMAR,Rural,Non-Border,LAMAR
