county,births_2010,deaths_2010,rate_2010,geo,births_2011,deaths_2011,rate_2011,births_2012,deaths_2012,rate_2012,births_2013,deaths_2013,rate_2013,births_2014,deaths_2014,rate_2014
RUNNELS,130,0,- ,0500000US48399,129,0,-,99,0,- ,97,1,10.3,99,0,-
RUSK,687,3,4.4,0500000US48401,658,1,1.5,700,0,- ,620,0,- ,576,0,-
SABINE,88,0,- ,0500000US48403,90,0,-,83,0,- ,95,0,- ,82,0,-
SAN AUGUSTINE,97,0,- ,0500000US48405,110,0,-,113,0,- ,99,0,- ,92,0,-
SAN JACINTO,288,0,- ,0500000US48407,262,1,3.8,273,0,- ,284,0,- ,284,0,-
SAN PATRICIO,914,1,1.1,0500000US48409,902,1,1.1,926,2,2.2,974,0,- ,1047,1,1.0
SAN SABA,59,0,- ,0500000US48411,72,0,-,75,0,- ,59,0,- ,69,0,-
SCHLEICHER,40,0,- ,0500000US48413,33,0,-,40,0,- ,41,0,- ,40,0,-
SCURRY,280,0,- ,0500000US48415,246,0,-,270,0,- ,242,0,- ,261,0,-
SHACKELFORD,27,0,- ,0500000US48417,30,0,-,42,0,- ,34,0,- ,23,0,-
SHELBY,359,1,2.8,0500000US48419,338,0,-,370,0,- ,381,0,- ,351,1,2.8
SHERMAN,30,0,- ,0500000US48421,49,0,-,35,0,- ,42,0,- ,41,0,-
SMITH,2992,1,0.3,0500000US48423,2956,2,0.7,2992,1,0.3,3090,0,- ,3150,2,0.6
SOMERVELL,97,0,- ,0500000US48425,71,0,-,94,0,- ,95,0,- ,85,0,-
STARR,1446,0,- ,0500000US48427,1359,0,-,1346,0,- ,1366,0,- ,1382,0,-
STEPHENS,112,0,- ,0500000US48429,97,0,-,99,0,- ,112,0,- ,96,0,-
STERLING,15,0,- ,0500000US48431,7,0,-,12,0,- ,17,0,- ,20,0,-
STONEWALL,12,0,- ,0500000US48433,11,0,-,12,0,- ,16,0,- ,17,0,-
SUTTON,42,0,- ,0500000US48435,56,0,-,54,0,- ,58,0,- ,53,0,-
SWISHER,113,0,- ,0500000US48437,127,0,-,96,0,- ,110,0,- ,95,0,-
TARRANT,27885,7,0.3,0500000US48439,27338,11,0.4,27671,10,0.4,27829,11,0.4,28405,13,0.5
TAYLOR,1981,0,- ,0500000US48441,2039,0,-,2089,0,- ,1998,1,0.5,2120,0,-
TERRELL,14,0,- ,0500000US48443,13,0,-,12,0,- ,4,0,- ,18,0,-
TERRY,179,0,- ,0500000US48445,192,1,5.2,197,0,- ,205,0,- ,210,0,-
THROCKMORTON,16,0,- ,0500000US48447,11,0,-,16,0,- ,18,0,- ,14,0,-
TITUS,508,1,2,0500000US48449,493,0,-,502,0,- ,494,0,- ,540,0,-
TOM GREEN,1549,0,- ,0500000US48451,1534,0,-,1491,1,0.7,1558,0,- ,1666,1,0.6
TRAVIS,15792,3,0.2,0500000US48453,15494,0,-,15826,4,0.3,15718,3,0.2,16386,7,0.4
TRINITY,178,0,- ,0500000US48455,139,0,-,110,0,- ,125,0,- ,157,1,6.4
TYLER,224,0,- ,0500000US48457,208,0,-,240,1,4.2,219,1,4.6,214,0,-
UPSHUR,507,0,- ,0500000US48459,474,0,-,463,0,- ,489,1,2.0,491,0,-
UPTON,38,0,- ,0500000US48461,52,0,-,52,0,- ,59,0,- ,49,0,-
UVALDE,416,0,- ,0500000US48463,401,0,-,372,0,- ,421,0,- ,409,0,-
VAL VERDE,897,0,- ,0500000US48465,865,0,-,865,0,- ,883,0,- ,866,0,-
VAN ZANDT,562,0,- ,0500000US48467,535,1,1.9,581,0,- ,589,1,1.7,568,0,-
VICTORIA,1300,0,- ,0500000US48469,1225,0,-,1292,0,- ,1338,2,1.5,1309,1,0.8
WALKER,614,1,1.6,0500000US48471,601,0,-,579,1,1.7,631,0,- ,674,0,-
WALLER,594,0,- ,0500000US48473,539,1,1.9,579,0,- ,594,0,- ,667,0,-
WARD,136,0,- ,0500000US48475,163,0,-,170,0,- ,194,0,- ,187,0,-
WASHINGTON,438,0,- ,0500000US48477,420,1,2.4,396,0,- ,395,0,- ,415,1,2.4
WEBB,5526,0,- ,0500000US48479,5443,0,-,5432,0,- ,5555,1,0.2,5492,2,0.4
WHARTON,567,0,- ,0500000US48481,544,1,1.8,540,1,1.9,531,0,- ,552,0,-
WHEELER,77,0,- ,0500000US48483,60,0,-,72,0,- ,78,0,- ,100,0,-
WICHITA,1789,0,- ,0500000US48485,1835,1,0.5,1766,2,1.1,1764,1,0.6,1816,3,1.7
WILBARGER,181,0,- ,0500000US48487,172,0,-,170,0,- ,163,0,- ,155,0,-
WILLACY,361,0,- ,0500000US48489,299,0,-,328,0,- ,314,0,- ,293,0,-
WILLIAMSON,6164,0,- ,0500000US48491,5976,5,0.8,6135,0,- ,6049,2,0.3,6457,2,0.3
WILSON,429,1,2.3,0500000US48493,468,0,-,497,0,- ,519,1,1.9,514,0,-
WINKLER,103,1,9.7,0500000US48495,107,0,-,132,0,- ,131,1,7.6,136,0,-
WISE,791,0,- ,0500000US48497,719,2,2.8,763,1,1.3,789,0,- ,773,0,-
WOOD,430,1,2.3,0500000US48499,389,0,-,415,0,- ,407,1,2.5,418,0,-
YOAKUM,128,0,- ,0500000US48501,134,0,-,128,0,- ,193,0,- ,147,0,-
YOUNG,228,0,- ,0500000US48503,218,0,-,246,0,- ,224,0,- ,230,0,-
ZAPATA,340,0,- ,0500000US48505,296,0,-,283,0,- ,274,0,- ,308,0,-
ZAVALA,201,0,- ,0500000US48507,198,0,-,215,0,- ,204,0,- ,197,0,-
