geo,geo_two,county
0500000US48225,48225,"Houston County, Texas"
0500000US48227,48227,Howard
0500000US48227,48227,HOWARD
0500000US48227,48227,Howard County
0500000US48227,48227,"Howard County, Texas"
0500000US48229,48229,Hudspeth
0500000US48229,48229,HUDSPETH
0500000US48229,48229,Hudspeth County
0500000US48229,48229,"Hudspeth County, Texas"
0500000US48231,48231,Hunt
0500000US48231,48231,HUNT
0500000US48231,48231,Hunt County
0500000US48231,48231,"Hunt County, Texas"
0500000US48233,48233,Hutchinson
0500000US48233,48233,HUTCHINSON
0500000US48233,48233,Hutchinson County
0500000US48233,48233,"Hutchinson County, Texas"
0500000US48235,48235,Irion
0500000US48235,48235,IRION
0500000US48235,48235,Irion County
0500000US48235,48235,"Irion County, Texas"
0500000US48237,48237,Jack
0500000US48237,48237,JACK
0500000US48237,48237,Jack County
0500000US48237,48237,"Jack County, Texas"
0500000US48239,48239,Jackson
0500000US48239,48239,JACKSON
0500000US48239,48239,Jackson County
0500000US48239,48239,"Jackson County, Texas"
0500000US48241,48241,Jasper
0500000US48241,48241,JASPER
0500000US48241,48241,Jasper County
0500000US48241,48241,"Jasper County, Texas"
0500000US48243,48243,Jeff Davis
0500000US48243,48243,JEFF DAVIS
0500000US48243,48243,Jeff Davis County
0500000US48243,48243,"Jeff Davis County, Texas"
0500000US48243,48243,JEFFDAVIS
0500000US48245,48245,Jefferson
0500000US48245,48245,JEFFERSON
0500000US48245,48245,Jefferson County
0500000US48245,48245,"Jefferson County, Texas"
0500000US48247,48247,Jim Hogg
0500000US48247,48247,JIM HOGG
0500000US48247,48247,Jim Hogg County
0500000US48247,48247,"Jim Hogg County, Texas"
0500000US48249,48249,Jim Wells
0500000US48249,48249,JIM WELLS
0500000US48249,48249,Jim Wells County
0500000US48249,48249,"Jim Wells County, Texas"
0500000US48247,48247,JIMHOGG
0500000US48249,48249,JIMWELLS
0500000US48251,48251,Johnson
0500000US48251,48251,JOHNSON
0500000US48251,48251,Johnson County
0500000US48251,48251,"Johnson County, Texas"
0500000US48253,48253,Jones
0500000US48253,48253,JONES
0500000US48253,48253,Jones County
0500000US48253,48253,"Jones County, Texas"
0500000US48255,48255,Karnes
0500000US48255,48255,KARNES
0500000US48255,48255,Karnes County
0500000US48255,48255,"Karnes County, Texas"
0500000US48257,48257,Kaufman
0500000US48257,48257,KAUFMAN
0500000US48257,48257,Kaufman County
0500000US48257,48257,"Kaufman County, Texas"
0500000US48259,48259,Kendall
0500000US48259,48259,KENDALL
0500000US48259,48259,Kendall County
0500000US48259,48259,"Kendall County, Texas"
0500000US48261,48261,Kenedy
0500000US48261,48261,KENEDY
0500000US48261,48261,Kenedy County
0500000US48261,48261,"Kenedy County, Texas"
0500000US48263,48263,Kent
0500000US48263,48263,KENT
0500000US48263,48263,Kent County
0500000US48263,48263,"Kent County, Texas"
0500000US48265,48265,Kerr
0500000US48265,48265,KERR
0500000US48265,48265,Kerr County
0500000US48265,48265,"Kerr County, Texas"
0500000US48267,48267,Kimble
0500000US48267,48267,KIMBLE
0500000US48267,48267,Kimble County
0500000US48267,48267,"Kimble County, Texas"
0500000US48269,48269,King
0500000US48269,48269,KING
0500000US48269,48269,King County
0500000US48269,48269,"King County, Texas"
0500000US48271,48271,Kinney
0500000US48271,48271,KINNEY
0500000US48271,48271,Kinney County
0500000US48271,48271,"Kinney County, Texas"
0500000US48273,48273,Kleberg
0500000US48273,48273,KLEBERG
0500000US48273,48273,Kleberg County
0500000US48273,48273,"Kleberg County, Texas"
0500000US48275,48275,Knox
0500000US48275,48275,KNOX
0500000US48275,48275,Knox County
0500000US48275,48275,"Knox County, Texas"
0500000US48283,48283,La Salle
0500000US48283,48283,LA SALLE
0500000US48283,48283,La Salle County
0500000US48283,48283,"La Salle County, Texas"
0500000US48277,48277,Lamar
0500000US48277,48277,LAMAR
0500000US48277,48277,Lamar County
0500000US48277,48277,"Lamar County, Texas"
0500000US48279,48279,Lamb
0500000US48279,48279,LAMB
0500000US48279,48279,Lamb County
0500000US48279,48279,"Lamb County, Texas"
0500000US48281,48281,Lampasas
0500000US48281,48281,LAMPASAS
0500000US48281,48281,Lampasas County
0500000US48281,48281,"Lampasas County, Texas"
0500000US48283,48283,LASALLE
0500000US48285,48285,Lavaca
0500000US48285,48285,LAVACA
0500000US48285,48285,Lavaca County
0500000US48285,48285,"Lavaca County, Texas"
0500000US48287,48287,Lee
0500000US48287,48287,LEE
0500000US48287,48287,Lee County
0500000US48287,48287,"Lee County, Texas"
0500000US48289,48289,Leon
0500000US48289,48289,LEON
0500000US48289,48289,Leon County
0500000US48289,48289,"Leon County, Texas"
0500000US48291,48291,Liberty
0500000US48291,48291,LIBERTY
0500000US48291,48291,Liberty County
0500000US48291,48291,"Liberty County, Texas"
0500000US48293,48293,Limestone
0500000US48293,48293,LIMESTONE
0500000US48293,48293,Limestone County
0500000US48293,48293,"Limestone County, Texas"
0500000US48295,48295,Lipscomb
0500000US48295,48295,LIPSCOMB
0500000US48295,48295,Lipscomb County
0500000US48295,48295,"Lipscomb County, Texas"
0500000US48297,48297,Live Oak
0500000US48297,48297,LIVE OAK
0500000US48297,48297,Live Oak County
0500000US48297,48297,"Live Oak County, Texas"
0500000US48297,48297,LIVEOAK
0500000US48299,48299,Llano
0500000US48299,48299,LLANO
0500000US48299,48299,Llano County
0500000US48299,48299,"Llano County, Texas"
0500000US48301,48301,Loving
0500000US48301,48301,LOVING
0500000US48301,48301,Loving County
0500000US48301,48301,"Loving County, Texas"
0500000US48303,48303,Lubbock
0500000US48303,48303,LUBBOCK
0500000US48303,48303,Lubbock County
0500000US48303,48303,"Lubbock County, Texas"
0500000US48305,48305,Lynn
0500000US48305,48305,LYNN
0500000US48305,48305,Lynn County
0500000US48305,48305,"Lynn County, Texas"
0500000US48313,48313,Madison
0500000US48313,48313,MADISON
0500000US48313,48313,Madison County
0500000US48313,48313,"Madison County, Texas"
0500000US48315,48315,Marion
0500000US48315,48315,MARION
0500000US48315,48315,Marion County
0500000US48315,48315,"Marion County, Texas"
0500000US48317,48317,Martin
0500000US48317,48317,MARTIN
0500000US48317,48317,Martin County
0500000US48317,48317,"Martin County, Texas"
0500000US48319,48319,Mason
0500000US48319,48319,MASON
0500000US48319,48319,Mason County
0500000US48319,48319,"Mason County, Texas"
0500000US48321,48321,Matagorda
0500000US48321,48321,MATAGORDA
0500000US48321,48321,Matagorda County
0500000US48321,48321,"Matagorda County, Texas"
0500000US48323,48323,Maverick
0500000US48323,48323,MAVERICK
0500000US48323,48323,Maverick County
0500000US48323,48323,"Maverick County, Texas"
0500000US48307,48307,McCulloch
0500000US48307,48307,MCCULLOCH
0500000US48307,48307,McCulloch County
0500000US48307,48307,"McCulloch County, Texas"
0500000US48309,48309,McLennan
0500000US48309,48309,MCLENNAN
0500000US48309,48309,McLennan County
0500000US48309,48309,"McLennan County, Texas"
0500000US48311,48311,McMullen
0500000US48311,48311,MCMULLEN
0500000US48311,48311,McMullen County
0500000US48311,48311,"McMullen County, Texas"
0500000US48325,48325,Medina
0500000US48325,48325,MEDINA
0500000US48325,48325,Medina County
0500000US48325,48325,"Medina County, Texas"
0500000US48327,48327,Menard
0500000US48327,48327,MENARD
0500000US48327,48327,Menard County
0500000US48327,48327,"Menard County, Texas"
0500000US48329,48329,Midland
0500000US48329,48329,MIDLAND
0500000US48329,48329,Midland County
0500000US48329,48329,"Midland County, Texas"
0500000US48331,48331,Milam
0500000US48331,48331,MILAM
0500000US48331,48331,Milam County
0500000US48331,48331,"Milam County, Texas"
0500000US48333,48333,Mills
0500000US48333,48333,MILLS
0500000US48333,48333,Mills County
0500000US48333,48333,"Mills County, Texas"
0500000US48335,48335,Mitchell
0500000US48335,48335,MITCHELL
0500000US48335,48335,Mitchell County
0500000US48335,48335,"Mitchell County, Texas"
0500000US48337,48337,Montague
0500000US48337,48337,MONTAGUE
0500000US48337,48337,Montague County
0500000US48337,48337,"Montague County, Texas"
0500000US48339,48339,Montgomery
0500000US48339,48339,MONTGOMERY
0500000US48339,48339,Montgomery County
0500000US48339,48339,"Montgomery County, Texas"
0500000US48341,48341,Moore
0500000US48341,48341,MOORE
0500000US48341,48341,Moore County
0500000US48341,48341,"Moore County, Texas"
0500000US48343,48343,Morris
0500000US48343,48343,MORRIS
0500000US48343,48343,Morris County
0500000US48343,48343,"Morris County, Texas"
0500000US48345,48345,Motley
0500000US48345,48345,MOTLEY
0500000US48345,48345,Motley County
0500000US48345,48345,"Motley County, Texas"
0500000US48347,48347,Nacogdoches
0500000US48347,48347,NACOGDOCHES
0500000US48347,48347,Nacogdoches County
0500000US48347,48347,"Nacogdoches County, Texas"
0500000US48349,48349,Navarro
0500000US48349,48349,NAVARRO
0500000US48349,48349,Navarro County
0500000US48349,48349,"Navarro County, Texas"
0500000US48351,48351,Newton
0500000US48351,48351,NEWTON
0500000US48351,48351,Newton County
0500000US48351,48351,"Newton County, Texas"
0500000US48353,48353,Nolan
0500000US48353,48353,NOLAN
0500000US48353,48353,Nolan County
0500000US48353,48353,"Nolan County, Texas"
0500000US48355,48355,Nueces
0500000US48355,48355,NUECES
0500000US48355,48355,Nueces County
0500000US48355,48355,"Nueces County, Texas"
0500000US48357,48357,Ochiltree
0500000US48357,48357,OCHILTREE
0500000US48357,48357,Ochiltree County
0500000US48357,48357,"Ochiltree County, Texas"
0500000US48359,48359,Oldham
0500000US48359,48359,OLDHAM
0500000US48359,48359,Oldham County
0500000US48359,48359,"Oldham County, Texas"
0500000US48361,48361,Orange
0500000US48361,48361,ORANGE
0500000US48361,48361,Orange County
0500000US48361,48361,"Orange County, Texas"
0500000US48363,48363,Palo Pinto
0500000US48363,48363,PALO PINTO
0500000US48363,48363,Palo Pinto County
0500000US48363,48363,"Palo Pinto County, Texas"
0500000US48363,48363,PALOPINTO
0500000US48365,48365,Panola
0500000US48365,48365,PANOLA
0500000US48365,48365,Panola County
0500000US48365,48365,"Panola County, Texas"
0500000US48367,48367,Parker
0500000US48367,48367,PARKER
0500000US48367,48367,Parker County
0500000US48367,48367,"Parker County, Texas"
0500000US48369,48369,Parmer
0500000US48369,48369,PARMER
0500000US48369,48369,Parmer County
0500000US48369,48369,"Parmer County, Texas"
0500000US48371,48371,Pecos
0500000US48371,48371,PECOS
0500000US48371,48371,Pecos County
0500000US48371,48371,"Pecos County, Texas"
0500000US48373,48373,Polk
0500000US48373,48373,POLK
0500000US48373,48373,Polk County
0500000US48373,48373,"Polk County, Texas"
0500000US48375,48375,Potter
0500000US48375,48375,POTTER
0500000US48375,48375,Potter County
0500000US48375,48375,"Potter County, Texas"
0500000US48377,48377,Presidio
0500000US48377,48377,PRESIDIO
0500000US48377,48377,Presidio County
0500000US48377,48377,"Presidio County, Texas"
0500000US48379,48379,Rains
0500000US48379,48379,RAINS
0500000US48379,48379,Rains County
0500000US48379,48379,"Rains County, Texas"
0500000US48381,48381,Randall
0500000US48381,48381,RANDALL
0500000US48381,48381,Randall County
0500000US48381,48381,"Randall County, Texas"
0500000US48383,48383,Reagan
0500000US48383,48383,REAGAN
0500000US48383,48383,Reagan County
0500000US48383,48383,"Reagan County, Texas"
0500000US48385,48385,Real
0500000US48385,48385,REAL
0500000US48385,48385,Real County
0500000US48385,48385,"Real County, Texas"
0500000US48387,48387,Red River
0500000US48387,48387,RED RIVER
0500000US48387,48387,Red River County
0500000US48387,48387,"Red River County, Texas"
0500000US48387,48387,REDRIVER
0500000US48389,48389,Reeves
0500000US48389,48389,REEVES
0500000US48389,48389,Reeves County
0500000US48389,48389,"Reeves County, Texas"
0500000US48391,48391,Refugio
0500000US48391,48391,REFUGIO
0500000US48391,48391,Refugio County
0500000US48391,48391,"Refugio County, Texas"
0500000US48393,48393,Roberts
0500000US48393,48393,ROBERTS
0500000US48393,48393,Roberts County
0500000US48393,48393,"Roberts County, Texas"
0500000US48395,48395,Robertson
0500000US48395,48395,ROBERTSON
0500000US48395,48395,Robertson County
0500000US48395,48395,"Robertson County, Texas"
0500000US48397,48397,Rockwall
0500000US48397,48397,ROCKWALL
0500000US48397,48397,Rockwall County
0500000US48397,48397,"Rockwall County, Texas"
0500000US48399,48399,Runnels
