geo,county,Border Status,births_2010_2014,deaths_2010_2014,prenatal_eligible_2010_2014,prenatal_sum_2010_2014,race_female_total_2010_2014,race_female_white_2010_2014,race_female_black_2010_2014,race_female_hispanic_2010_2014,race_female_other_2010_2014
0500000US48297,LIVE OAK,Non-Border,622,0,562,365,27098,16735,118,9892,353
0500000US48299,LLANO,Non-Border,783,0,735,500,50435,45248,222,4155,810
0500000US48301,LOVING,Non-Border,0,0,-,0,179,125,0,49,5
0500000US48303,LUBBOCK,Non-Border,20274,3,19808,12875,717558,411560,52209,230151,23638
0500000US48305,LYNN,Non-Border,375,0,366,226,14777,7659,245,6716,157
0500000US48307,MCCULLOCH,Non-Border,295,1,468,310,16898,11550,254,4931,163
0500000US48309,MCLENNAN,Non-Border,10530,4,16070,10285,487897,286122,74899,113592,13284
0500000US48311,MCMULLEN,Border,16,0,38,25,1469,924,13,514,18
0500000US48313,MADISON,Non-Border,783,1,638,389,29221,19050,4755,4850,566
0500000US48315,MARION,Non-Border,492,0,451,257,26874,18946,6433,831,664
0500000US48317,MARTIN,Non-Border,463,1,431,245,12292,6603,196,5372,121
0500000US48319,MASON,Non-Border,178,0,171,106,10325,8104,31,2102,88
0500000US48321,MATAGORDA,Non-Border,2661,2,2507,1354,91760,43465,10732,34914,2649
0500000US48323,MAVERICK,Border,5416,2,5296,4237,141110,3634,167,135540,1769
0500000US48325,MEDINA,Non-Border,2676,2,2293,1674,113591,54152,726,57097,1616
0500000US48327,MENARD,Non-Border,94,0,94,60,5586,3560,16,1961,49
0500000US48329,MIDLAND,Non-Border,12611,2,11817,7681,361692,190343,23646,138770,8933
0500000US48331,MILAM,Non-Border,1552,2,1027,657,62695,41060,6322,14525,788
0500000US48333,MILLS,Non-Border,238,0,223,143,12526,10344,64,1998,120
0500000US48335,MITCHELL,Non-Border,498,0,487,291,18308,11161,625,6290,232
0500000US48337,MONTAGUE,Non-Border,1160,0,1095,679,50504,44451,72,5038,943
0500000US48339,MONTGOMERY,Non-Border,32734,10,31548,20191,1193282,849118,52158,247200,44806
0500000US48341,MOORE,Non-Border,2071,2,1990,1035,53095,21093,427,27980,3595
0500000US48343,MORRIS,Non-Border,780,0,743,453,33649,22296,8175,2510,668
0500000US48345,MOTLEY,Non-Border,42,0,41,22,2975,2495,51,403,26
0500000US48347,NACOGDOCHES,Non-Border,4520,0,4387,2720,169503,103756,32844,28557,4346
0500000US48349,NAVARRO,Non-Border,3498,3,3369,1651,121568,73094,16889,28536,3049
0500000US48351,NEWTON,Non-Border,721,1,660,416,35132,26722,6860,863,687
0500000US48353,NOLAN,Non-Border,1027,0,1000,680,38206,22843,1758,13097,508
0500000US48355,NUECES,Non-Border,24280,8,21750,14790,878341,280514,30783,541779,25265
0500000US48357,OCHILTREE,Non-Border,901,0,843,447,25398,12847,55,12141,355
0500000US48359,OLDHAM,Non-Border,109,0,108,84,5164,4246,155,626,137
0500000US48361,ORANGE,Non-Border,5494,2,4690,3236,206509,171563,18412,11567,4967
0500000US48363,PALO PINTO,Non-Border,1847,2,1809,1266,71828,56454,1517,12662,1195
0500000US48365,PANOLA,Non-Border,1468,1,1311,793,60338,44382,10214,4721,1021
0500000US48367,PARKER,Non-Border,6656,5,6451,4638,294463,254446,2899,30408,6710
0500000US48369,PARMER,Non-Border,755,0,689,372,24938,9645,215,14938,140
0500000US48371,PECOS,Border,1122,0,1022,656,34074,8860,175,24545,494
0500000US48373,POLK,Non-Border,2466,0,2356,1378,106730,80813,10074,12336,3507
0500000US48375,POTTER,Non-Border,10356,1,10009,5805,298714,149508,25956,106155,17095
0500000US48377,PRESIDIO,Border,624,0,522,266,20181,2703,44,17140,294
0500000US48379,RAINS,Non-Border,493,0,475,299,27499,24284,597,2024,594
