Geographic Area,Total Number,Total Percent,White Number,White Percent,Black Number,Black Percent,Hispanic Number,Hispanic Percent
THROCKMORTON,12,*,12,*,0,-,0,-
TITUS,256,51.1,118,67,16,47.1,122,41.9
TOM GREEN,937,63.1,578,71.5,18,58.1,341,52.7
TRAVIS,"11,285",71.7,"6,349",84.1,776,66.3,"4,160",59.3
TRINITY,66,60,53,69.7,5,*,8,*
TYLER,150,62.5,136,65.1,7,33.3,7,*
UPSHUR,249,54.6,209,57.3,14,51.9,26,40.6
UPTON,33,63.5,15,60,0,-,18,66.7
UVALDE,233,63.5,70,72.2,1,*,162,60.2
VAL VERDE,344,40.3,74,54.8,5,*,265,37.3
VAN ZANDT,302,54.5,274,57.7,1,*,27,36.5
VICTORIA,852,70.2,413,77.6,31,62,408,64.6
WALKER,390,67.8,226,70,65,61.3,99,67.8
WALLER,362,65.6,140,70,57,55.3,165,66.3
WARD,123,73.2,58,77.3,4,*,61,69.3
WASHINGTON,205,57.3,128,67.4,29,50.9,48,43.2
WEBB,"4,146",77.7,141,87.6,6,*,"3,999",77.4
WHARTON,319,61.6,141,80.1,31,44.3,147,54
WHEELER,43,59.7,24,61.5,1,*,18,60
WICHITA,"1,386",78.6,999,83.5,114,71.3,273,67.2
WILBARGER,122,71.8,69,72.6,6,*,47,71.2
WILLACY,181,57.1,5,*,1,*,175,56.6
WILLIAMSON,"4,868",81.4,"3,432",85.7,214,71.6,"1,222",73
WILSON,316,69.9,199,74.8,0,-,117,63.6
WINKLER,82,62.1,31,72.1,1,*,50,57.5
WISE,443,60.4,354,66.7,2,*,87,44.4
WOOD,239,60.7,202,65.4,2,*,35,46.7
YOAKUM,71,56.8,23,57.5,0,-,48,56.5
YOUNG,184,75.1,146,81.1,2,*,36,57.1
ZAPATA,217,78.9,7,*,0,-,210,78.4
ZAVALA,139,66.5,6,*,0,-,133,67.5
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
