county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number,geo,Urbanization Status,Border Status
Newton,63.9,318,58.4,73,*,**,79.4,27,0500000US48351,Urban,Non-Border
Nolan,72.9,382,62.3,33,62.7,272,*,**,0500000US48353,Rural,Non-Border
Nueces,67.7,"4,096",57,387,60.6,"9,867",64.7,388,0500000US48355,Urban,Non-Border
Ochiltree,68.3,213,*,**,39.7,219,*,**,0500000US48357,Rural,Non-Border
Oldham,75.2,79,--,0,*,**,*,**,0500000US48359,Urban,Non-Border
Orange Cnty,69.7,"2,667",54.4,270,62.1,239,59,95,0500000US48361,Urban,Non-Border
Palo Pinto,72.5,901,*,17,57.4,299,62.2,23,0500000US48363,Rural,Non-Border
Panola,63.6,597,48.5,100,38.3,80,77.1,54,0500000US48365,Rural,Non-Border
Parker,74.9,"4,218",66,35,51.4,514,62.8,81,0500000US48367,Urban,Non-Border
Parmer,70.9,134,*,**,43.9,221,*,**,0500000US48369,Rural,Non-Border
Pecos,66.7,142,*,**,57.2,481,*,12,0500000US48371,Rural,Border
Polk,60,"1,011",50.7,107,51.8,247,44.6,45,0500000US48373,Rural,Non-Border
Potter,67.2,"2,367",48.7,555,55.4,"2,554",40.7,372,0500000US48375,Urban,Non-Border
Presidio,57.1,32,*,**,42.8,226,--,0,0500000US48377,Rural,Border
Rains,65.8,265,*,**,51.5,34,*,**,0500000US48379,Rural,Non-Border
Randall,77,"4,454",56.6,163,67.1,"1,303",65.9,226,0500000US48381,Urban,Non-Border
Reagan,69.5,57,*,**,49.5,105,*,**,0500000US48383,Rural,Non-Border
Real,54.3,63,--,0,50.9,28,*,**,0500000US48385,Rural,Border
Red River,69.2,306,44.3,47,41.3,31,*,**,0500000US48387,Rural,Non-Border
Reeves,71.7,76,*,**,67.7,530,*,13,0500000US48389,Rural,Border
Refugio,68.2,120,*,17,65,145,*,**,0500000US48391,Rural,Non-Border
Roberts,77.5,31,--,0,*,**,--,0,0500000US48393,Rural,Non-Border
Robertson,66.9,313,39.8,86,58.4,146,*,**,0500000US48395,Urban,Non-Border
Rockwall Cnty,72,"2,392",56.4,137,54.3,566,67.1,159,0500000US48397,Urban,Non-Border
Runnels,72.1,217,*,**,50.5,108,*,**,0500000US48399,Rural,Non-Border
Rusk,65.3,"1,223",55.8,234,48,386,57.4,35,0500000US48401,Urban,Non-Border
Sabine,61.3,225,*,18,72.4,21,*,**,0500000US48403,Rural,Non-Border
San Augustine,66.3,189,44.1,56,61.4,43,*,**,0500000US48405,Rural,Non-Border
San Jacinto,55.6,551,49.6,61,54.6,118,*,**,0500000US48407,Rural,Non-Border
San Patricio,64.3,990,47.9,23,54,"1,620",78.3,54,0500000US48409,Urban,Non-Border
San Saba,68.8,117,--,0,56,89,*,**,0500000US48411,Rural,Non-Border
Schleicher,78.2,43,--,0,51.3,61,*,**,0500000US48413,Rural,Non-Border
Scurry,58,324,*,13,39.8,251,*,**,0500000US48415,Rural,Non-Border
Shackelford,66.9,97,*,**,*,14,*,**,0500000US48417,Rural,Non-Border
Shelby,61.6,520,44,122,58.2,291,52.5,63,0500000US48419,Rural,Non-Border
Sherman Cnty,79.3,65,0,0,52.7,58,*,**,0500000US48421,Rural,Non-Border
Smith,63.6,"4,666",44,"1,058",39.7,"1,601",50,240,0500000US48423,Urban,Non-Border
Somervell,69.8,199,*,**,56.7,68,*,**,0500000US48425,Urban,Non-Border
Starr,*,13,*,**,53.1,"2,229",*,**,0500000US48427,Rural,Border
Stephens,71.5,236,*,**,61.3,103,*,11,0500000US48429,Rural,Non-Border
Sterling,79.5,31,--,0,*,17,--,0,0500000US48431,Rural,Non-Border
Stonewall,67.3,37,--,0,*,**,*,**,0500000US48433,Rural,Non-Border
Sutton,67.4,60,*,**,47.8,85,*,**,0500000US48435,Rural,Border
Swisher,68,134,*,16,50.5,156,*,**,0500000US48437,Rural,Non-Border
Tarrant,71,"39,695",51.2,"11,619",44,"21,893",57.2,"5,577",0500000US48439,Urban,Non-Border
Taylor Cnty,73.3,"4,567",53.9,439,59,"1,671",59,227,0500000US48441,Urban,Non-Border
Terrell Cnty,*,17,--,0,*,20,--,0,0500000US48443,Rural,Border
Terry,53.4,171,*,**,45.1,287,*,**,0500000US48445,Rural,Non-Border
Throckmorton,72.6,45,--,0,*,**,*,**,0500000US48447,Rural,Non-Border
Titus,70.8,562,57.5,119,46.8,684,47.5,28,0500000US48449,Rural,Non-Border
Tom Green,72.2,"2,910",54.9,118,56.6,"1,982",57.6,106,0500000US48451,Urban,Non-Border
Travis,84.9,"26,155",66.9,"4,070",60.7,"21,358",79.8,"5,752",0500000US48453,Urban,Non-Border
Trinity,64.9,323,50,31,50,47,*,**,0500000US48455,Rural,Non-Border
Tyler Cnty,62.2,566,50.5,46,59.2,29,*,19,0500000US48457,Rural,Non-Border
Upshur,59.7,"1,091",51.2,87,44.6,132,51.9,27,0500000US48459,Urban,Non-Border
Upton,69.6,87,--,0,60.1,86,*,**,0500000US48461,Rural,Non-Border
Uvalde Cnty,68.2,290,*,**,62.8,965,*,12,0500000US48463,Rural,Border
Val Verde,51.6,316,*,18,33,"1,195",43.1,25,0500000US48465,Rural,Border
