county,white_percent,white_number,black_percent,black_number,hispanic_percent,hispanic_number,other_percent,other_number
Van Zandt,61.2,"1,371",*,18,42.7,178,43.3,29
Victoria Cnty,79.7,"1,944",56.4,154,66.5,"2,260",71.1,118
Walker,70.8,"1,158",60.9,392,63.7,463,54.5,55
Waller,73.5,771,55.1,248,61.6,805,64.7,33
Ward,72.2,267,76.2,32,70.2,335,*,11
Washington,71.8,671,52.4,185,41.7,228,60.8,31
Webb,88.7,518,*,12,75.5,"18,923",75.5,74
Wharton,76.7,670,53.6,201,52,731,*,14
Wheeler,61.9,133,*,**,54.2,77,*,**
Wichita,80.3,"4,465",66.6,597,67.9,"1,397",74.4,276
Wilbarger,77.2,336,50,29,65.8,192,*,15
Willacy,56.8,25,*,**,61.9,887,*,**
Williamson,84.3,"14,392",70.6,"1,189",72.7,"6,049",84.1,"2,591"
Wilson,70.5,947,*,10,56.6,544,64.9,24
Winkler,74.1,149,*,**,64.5,271,*,**
Wise,67.2,"1,810",*,10,43.5,423,50,37
Wood,62.4,955,40,24,46.7,162,45.5,20
Yoakum,61.5,118,*,**,55.3,304,*,**
Young,77,624,*,**,57.1,169,*,14
Zapata,84,21,--,0,77,"1,002",*,**
Zavala,70.9,39,*,**,67.4,627,--,0
